Name,ShortName,Service,PID,ModeAndPID,Header,Module,Network,Equation_Metric,Min_Metric,Max_Metric,Unit_Metric,Equation_Imperial,Min_Imperial,Max_Imperial,Unit_Imperial,VehicleScope,DataClass,Status,Source,Notes
Calculated Engine Load,Load,01,04,0104,Auto,Auto,Auto,A*100/255,0.0,100.0,%,A*100/255,0.0,100.0,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Engine Coolant Temp,ECT,01,05,0105,Auto,Auto,Auto,A-40,-40.0,215.0,°C,((A-40)*9/5)+32,-40.0,419.0,°F,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Short Term Fuel Trim 1,STFT1,01,06,0106,Auto,Auto,Auto,(A-128)*100/128,-100.0,99.2,%,(A-128)*100/128,-100.0,99.2,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Long Term Fuel Trim 1,LTFT1,01,07,0107,Auto,Auto,Auto,(A-128)*100/128,-100.0,99.2,%,(A-128)*100/128,-100.0,99.2,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Short Term Fuel Trim 2,STFT2,01,08,0108,Auto,Auto,Auto,(A-128)*100/128,-100.0,99.2,%,(A-128)*100/128,-100.0,99.2,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Long Term Fuel Trim 2,LTFT2,01,09,0109,Auto,Auto,Auto,(A-128)*100/128,-100.0,99.2,%,(A-128)*100/128,-100.0,99.2,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Fuel Rail Pressure,FRP,01,0A,010A,Auto,Auto,Auto,A*3,0.0,765.0,kPa,(A*3)*0.145038,0.0,110.95407,psi,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Intake Manifold ABS Pressure,MAP,01,0B,010B,Auto,Auto,Auto,A,0.0,255.0,kPa,(A)*0.145038,0.0,36.98469,psi,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Engine RPM,RPM,01,0C,010C,Auto,Auto,Auto,((A*256)+B)/4,0.0,8000.0,rpm,((A*256)+B)/4,0.0,8000.0,rpm,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Vehicle Speed,Speed,01,0D,010D,Auto,Auto,Auto,A,0.0,255.0,km/h,(A)*0.621371,0.0,158.449605,mph,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Timing Advance,Timing,01,0E,010E,Auto,Auto,Auto,A/2-64,-64.0,63.5,°,A/2-64,-64.0,63.5,°,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Intake Air Temp,IAT,01,0F,010F,Auto,Auto,Auto,A-40,-40.0,215.0,°C,((A-40)*9/5)+32,-40.0,419.0,°F,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Mass Air Flow Rate,MAF,01,10,0110,Auto,Auto,Auto,((A*256)+B)/100,0.0,655.0,g/s,((A*256)+B)/100,0.0,655.0,g/s,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Throttle Position,TP,01,11,0111,Auto,Auto,Auto,A*100/255,0.0,100.0,%,A*100/255,0.0,100.0,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Commanded EGR,EGR CMD,01,2C,012C,Auto,Auto,Auto,A*(100/255),0.0,100.0,%,A*(100/255),0.0,100.0,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Evap System Vapor Pressure,EVAP VP,01,32,0132,Auto,Auto,Auto,((signed(A)*256)+B)/4,-8192.0,8192.0,Pa,(((signed(A)*256)+B)/4)*0.00401463,-32.88784896,32.88784896,inH2O,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Barometric Pressure,BARO,01,33,0133,Auto,Auto,Auto,A,0.0,255.0,kPa,(A)*0.145038,0.0,36.98469,psi,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Catalyst Temp Bank 1 Sensor 1,CAT11,01,3C,013C,Auto,Auto,Auto,(((A*256)+B)/10)-40,-40.0,6500.0,°C,(((((A*256)+B)/10)-40)*9/5)+32,-40.0,11732.0,°F,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Control Module Voltage,CM Volts,01,42,0142,Auto,Auto,Auto,((A*256)+B)/1000,0.0,20.0,V,((A*256)+B)/1000,0.0,20.0,V,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Relative Accelerator Pedal Pos,Rel APP,01,5A,015A,Auto,Auto,Auto,A/2.55,0.0,100.0,%,A/2.55,0.0,100.0,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Engine Oil Temperature,EOT,01,5C,015C,Auto,Auto,Auto,A-40,-40.0,210.0,°C,((A-40)*9/5)+32,-40.0,410.0,°F,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Fuel Injection Timing,Inj Timing,01,5D,015D,Auto,Auto,Auto,(((A*256)+B)-26880)/128,-210.0,301.0,°,(((A*256)+B)-26880)/128,-210.0,301.0,°,Ford TDCi/Diesels,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Engine Fuel Rate,Fuel Rate,01,5E,015E,Auto,Auto,Auto,((A*256)+B)*0.05,0.0,3212.0,L/h,(((A*256)+B)*0.05)*0.264172,0.0,848.5204640000001,gal/h,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
